sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value
Is there any biggest playground open in Karachi right now?,playground,biggest,en,Karachi,leisure,park
Can you recommend a popular resort around F-11 Markaz?,resort,popular,en,Islamabad,tourism,hotel
The Gulshan in Karachi has an biggest grand mosque.,grand mosque,biggest,en,Karachi,amenity,mosque
Agar rush wala silai markaz dhoond rahay ho to Saddar jao.,silai markaz,rush wala,ur,Peshawar,shop,tailor
Kya Karachi main koi purana masjid khula hai?,masjid,purana,ur,Karachi,amenity,mosque
Can you recommend a cheap Islamic center around Gulshan?,Islamic center,cheap,en,Karachi,amenity,mosque
Mujhay Saddar ke qareeb koi lajawab chowki chahiye.,chowki,lajawab,ur,Rawalpindi,amenity,police
Suna hai ke Islamabad main sab se mehnga clinic wahan hai.,clinic,mehnga,ur,Islamabad,amenity,hospital
Hum ne F-7 main aik lajawab tikka shop dekha.,tikka shop,lajawab,ur,Islamabad,amenity,restaurant
Kya Lahore main koi mashoor shifa khana khula hai?,shifa khana,mashoor,ur,Lahore,amenity,hospital
Can you recommend a famous stitching center around Gulberg?,stitching center,famous,en,Lahore,shop,tailor
Hum ne Defence main aik saaf suthra sair gah dekha.,sair gah,saaf suthra,ur,Karachi,leisure,park
"Avoid the Islamic center in Clifton, it is not affordable.",Islamic center,affordable,en,Karachi,amenity,mosque
Does Lahore have any affordable police station for tourists?,police station,affordable,en,Lahore,amenity,police
"Avoid the dining place in Saddar, it is not historic.",dining place,historic,en,Peshawar,amenity,restaurant
Defence main jo clinic hai wo bohat pur-sukoon hai.,clinic,pur-sukoon,ur,Karachi,amenity,hospital
Liberty Market wala boutique kaafi pur-sukoon hai.,boutique,pur-sukoon,ur,Lahore,shop,clothes
Blue Area main jo tailor shop hai wo bohat khubsurat hai.,tailor shop,khubsurat,ur,Islamabad,shop,tailor
Is there any cheap stitching center open in Lahore right now?,stitching center,cheap,en,Lahore,shop,tailor
Suna hai ke Rawalpindi main sab se khubsurat boutique wahan hai.,boutique,khubsurat,ur,Rawalpindi,shop,clothes
There is a famous stitching center in G-9 which is very oldest.,stitching center,oldest,en,Islamabad,shop,tailor
Does Peshawar have any affordable restaurant for tourists?,restaurant,affordable,en,Peshawar,amenity,restaurant
Kya Peshawar main koi bada tailor shop khula hai?,tailor shop,bada,ur,Peshawar,shop,tailor
Agar bada darzi dhoond rahay ho to Tariq Road jao.,darzi,bada,ur,Karachi,shop,tailor
Does Islamabad have any luxury hospital for tourists?,hospital,luxury,en,Islamabad,amenity,hospital
Lahore ke Anarkali main aik bohat mashoor kiryana store hai.,kiryana store,mashoor,ur,Lahore,shop,convenience
Rawalpindi ke Commercial Market main aik bohat pur-sukoon chai wala hai.,chai wala,pur-sukoon,ur,Rawalpindi,amenity,cafe
There is a famous emergency room in University Road which is very historic.,emergency room,historic,en,Peshawar,amenity,hospital
Mall Road wala hotel kaafi khubsurat hai.,hotel,khubsurat,ur,Lahore,tourism,hotel
Suna hai ke Rawalpindi main sab se behtareen general store wahan hai.,general store,behtareen,ur,Rawalpindi,shop,convenience
Raja Bazaar wala khanay ka center kaafi mashoor hai.,khanay ka center,mashoor,ur,Rawalpindi,amenity,restaurant
We visited the most biggest precinct in Rawalpindi yesterday.,precinct,biggest,en,Rawalpindi,amenity,police
Kya Islamabad main koi rush wala cafe khula hai?,cafe,rush wala,ur,Islamabad,amenity,cafe
Can you recommend a oldest jogging track around Blue Area?,jogging track,oldest,en,Islamabad,leisure,park
We visited the most affordable mosque in Karachi yesterday.,mosque,affordable,en,Karachi,amenity,mosque
Suna hai ke Karachi main sab se purana cloth market wahan hai.,cloth market,purana,ur,Karachi,shop,clothes
Mujhay Liberty Market ke qareeb koi purana dawa khana chahiye.,dawa khana,purana,ur,Lahore,amenity,hospital
Mujhay Hayatabad ke qareeb koi rush wala shifa khana chahiye.,shifa khana,rush wala,ur,Peshawar,amenity,hospital
Hayatabad main jo silai markaz hai wo bohat bada hai.,silai markaz,bada,ur,Peshawar,shop,tailor
Gulshan wala clinic kaafi mashoor hai.,clinic,mashoor,ur,Karachi,amenity,hospital
Agar qareebi guest house dhoond rahay ho to F-7 jao.,guest house,qareebi,ur,Islamabad,tourism,hotel
I am looking for a historic resort near Gulshan.,resort,historic,en,Karachi,tourism,hotel
Kya Islamabad main koi behtareen kiryana store khula hai?,kiryana store,behtareen,ur,Islamabad,shop,convenience
Mujhay Blue Area ke qareeb koi rush wala bagh chahiye.,bagh,rush wala,ur,Islamabad,leisure,park
Does Karachi have any oldest mini mart for tourists?,mini mart,oldest,en,Karachi,shop,convenience
I am looking for a affordable boutique near G-9.,boutique,affordable,en,Islamabad,shop,clothes
Mall Road main jo police station hai wo bohat khubsurat hai.,police station,khubsurat,ur,Lahore,amenity,police
We visited the most biggest restaurant in Rawalpindi yesterday.,restaurant,biggest,en,Rawalpindi,amenity,restaurant
Rawalpindi ke Raja Bazaar main aik bohat khubsurat shifa khana hai.,shifa khana,khubsurat,ur,Rawalpindi,amenity,hospital
We visited the most crowded stitching center in Karachi yesterday.,stitching center,crowded,en,Karachi,shop,tailor
The University Road in Peshawar has an biggest playground.,playground,biggest,en,Peshawar,leisure,park
We visited the most best convenience store in Rawalpindi yesterday.,convenience store,best,en,Rawalpindi,shop,convenience
DHA main jo khanay ka center hai wo bohat behtareen hai.,khanay ka center,behtareen,ur,Lahore,amenity,restaurant
Can you recommend a best restaurant around Anarkali?,restaurant,best,en,Lahore,amenity,restaurant
Suna hai ke Peshawar main sab se mehnga guest house wahan hai.,guest house,mehnga,ur,Peshawar,tourism,hotel
I am looking for a oldest convenience store near University Road.,convenience store,oldest,en,Peshawar,shop,convenience
G-9 main jo police station hai wo bohat sasta hai.,police station,sasta,ur,Islamabad,amenity,police
There is a famous mosque in Defence which is very popular.,mosque,popular,en,Karachi,amenity,mosque
Agar mehnga cloth market dhoond rahay ho to Centaurus jao.,cloth market,mehnga,ur,Islamabad,shop,clothes
Hum ne Karkhano main aik bada chai wala dekha.,chai wala,bada,ur,Peshawar,amenity,cafe
Hum ne G-9 main aik sasta hotel dekha.,hotel,sasta,ur,Islamabad,tourism,hotel
There is a famous tailor shop in Saddar which is very cheap.,tailor shop,cheap,en,Karachi,shop,tailor
The Saddar in Rawalpindi has an famous mosque.,mosque,famous,en,Rawalpindi,amenity,mosque
I am looking for a nearby garment shop near Gulshan.,garment shop,nearby,en,Karachi,shop,clothes
Is there any affordable hospital open in Rawalpindi right now?,hospital,affordable,en,Rawalpindi,amenity,hospital
Agar purana restaurant dhoond rahay ho to DHA jao.,restaurant,purana,ur,Lahore,amenity,restaurant
Does Lahore have any historic garden for tourists?,garden,historic,en,Lahore,leisure,park
Agar bada police station dhoond rahay ho to DHA jao.,police station,bada,ur,Lahore,amenity,police
We visited the most best eatery in Rawalpindi yesterday.,eatery,best,en,Rawalpindi,amenity,restaurant
Mujhay Hayatabad ke qareeb koi purana dawa khana chahiye.,dawa khana,purana,ur,Peshawar,amenity,hospital
Rawalpindi ke Saddar main aik bohat saaf suthra cafe hai.,cafe,saaf suthra,ur,Rawalpindi,amenity,cafe
Is there any biggest grand mosque open in Rawalpindi right now?,grand mosque,biggest,en,Rawalpindi,amenity,mosque
Hum ne G-9 main aik khubsurat masjid dekha.,masjid,khubsurat,ur,Islamabad,amenity,mosque
Hum ne Raja Bazaar main aik qareebi sair gah dekha.,sair gah,qareebi,ur,Rawalpindi,leisure,park
Does Karachi have any affordable clothing store for tourists?,clothing store,affordable,en,Karachi,shop,clothes
We visited the most crowded fashion outlet in Lahore yesterday.,fashion outlet,crowded,en,Lahore,shop,clothes
Saddar main jo park hai wo bohat qareebi hai.,park,qareebi,ur,Peshawar,leisure,park
The University Road in Peshawar has an best grand mosque.,grand mosque,best,en,Peshawar,amenity,mosque
There is a famous resort in Bahria Town which is very clean.,resort,clean,en,Rawalpindi,tourism,hotel
Agar sasta boutique dhoond rahay ho to Liberty Market jao.,boutique,sasta,ur,Lahore,shop,clothes
There is a famous precinct in G-9 which is very luxury.,precinct,luxury,en,Islamabad,amenity,police
I am looking for a best garden near Saddar.,garden,best,en,Karachi,leisure,park
Peshawar ke University Road main aik bohat mashoor kapron ki dukaan hai.,kapron ki dukaan,mashoor,ur,Peshawar,shop,clothes
Kya Rawalpindi main koi rush wala hotel khula hai?,hotel,rush wala,ur,Rawalpindi,tourism,hotel
Lahore ke Liberty Market main aik bohat purana kapron ki dukaan hai.,kapron ki dukaan,purana,ur,Lahore,shop,clothes
Hayatabad main jo hotel hai wo bohat khubsurat hai.,hotel,khubsurat,ur,Peshawar,amenity,restaurant
We visited the most popular coffee shop in Karachi yesterday.,coffee shop,popular,en,Karachi,amenity,cafe
Rawalpindi ke Raja Bazaar main aik bohat khubsurat police station hai.,police station,khubsurat,ur,Rawalpindi,amenity,police
Agar behtareen cafe dhoond rahay ho to Hayatabad jao.,cafe,behtareen,ur,Peshawar,amenity,cafe
DHA main jo fashion center hai wo bohat mashoor hai.,fashion center,mashoor,ur,Lahore,shop,clothes
Saddar main jo haspatal hai wo bohat behtareen hai.,haspatal,behtareen,ur,Rawalpindi,amenity,hospital
Lahore ke Mall Road main aik bohat khubsurat imambargah hai.,imambargah,khubsurat,ur,Lahore,amenity,mosque
"Avoid the cafe in Blue Area, it is not luxury.",cafe,luxury,en,Islamabad,amenity,cafe
Mujhay Saddar ke qareeb koi rush wala ground chahiye.,ground,rush wala,ur,Peshawar,leisure,park
There is a famous mosque in University Road which is very famous.,mosque,famous,en,Peshawar,amenity,mosque
Tariq Road wala clinic kaafi khubsurat hai.,clinic,khubsurat,ur,Karachi,amenity,hospital
Hum ne F-7 main aik lajawab darzi dekha.,darzi,lajawab,ur,Islamabad,shop,tailor
There is a famous park in Tariq Road which is very popular.,park,popular,en,Karachi,leisure,park
F-11 Markaz main jo dawa khana hai wo bohat qareebi hai.,dawa khana,qareebi,ur,Islamabad,amenity,hospital
Kya Karachi main koi khubsurat jamia masjid khula hai?,jamia masjid,khubsurat,ur,Karachi,amenity,mosque
Can you recommend a best garment shop around Raja Bazaar?,garment shop,best,en,Rawalpindi,shop,clothes
"Avoid the mini mart in Tariq Road, it is not cheap.",mini mart,cheap,en,Karachi,shop,convenience
University Road main jo khanay ka center hai wo bohat saaf suthra hai.,khanay ka center,saaf suthra,ur,Peshawar,amenity,restaurant
Kya Rawalpindi main koi behtareen cloth market khula hai?,cloth market,behtareen,ur,Rawalpindi,shop,clothes
Suna hai ke Islamabad main sab se khubsurat kiryana store wahan hai.,kiryana store,khubsurat,ur,Islamabad,shop,convenience
Is there any affordable park open in Lahore right now?,park,affordable,en,Lahore,leisure,park
Kya Peshawar main koi pur-sukoon chowki khula hai?,chowki,pur-sukoon,ur,Peshawar,amenity,police
Suna hai ke Karachi main sab se pur-sukoon chai wala wahan hai.,chai wala,pur-sukoon,ur,Karachi,amenity,cafe
The Clifton in Karachi has an historic Islamic center.,Islamic center,historic,en,Karachi,amenity,mosque
I am looking for a affordable guest house near Gulshan.,guest house,affordable,en,Karachi,tourism,hotel
Suna hai ke Islamabad main sab se khubsurat sauda salf ki dukaan wahan hai.,sauda salf ki dukaan,khubsurat,ur,Islamabad,shop,convenience
Suna hai ke Karachi main sab se behtareen darzi wahan hai.,darzi,behtareen,ur,Karachi,shop,tailor
The G-9 in Islamabad has an popular fashion outlet.,fashion outlet,popular,en,Islamabad,shop,clothes
Hum ne Commercial Market main aik sasta kiryana store dekha.,kiryana store,sasta,ur,Rawalpindi,shop,convenience
The Defence in Karachi has an cheap hotel.,hotel,cheap,en,Karachi,tourism,hotel
Islamabad ke F-7 main aik bohat purana shifa khana hai.,shifa khana,purana,ur,Islamabad,amenity,hospital
Karachi ke Gulshan main aik bohat saaf suthra hotel hai.,hotel,saaf suthra,ur,Karachi,amenity,restaurant
Commercial Market main jo chowki hai wo bohat pur-sukoon hai.,chowki,pur-sukoon,ur,Rawalpindi,amenity,police
F-7 wala dukaan kaafi mashoor hai.,dukaan,mashoor,ur,Islamabad,shop,convenience
Is there any biggest clinic open in Lahore right now?,clinic,biggest,en,Lahore,amenity,hospital
Mujhay Centaurus ke qareeb koi lajawab tailor shop chahiye.,tailor shop,lajawab,ur,Islamabad,shop,tailor
"Avoid the playground in University Road, it is not biggest.",playground,biggest,en,Peshawar,leisure,park
Islamabad ke Centaurus main aik bohat purana chai wala hai.,chai wala,purana,ur,Islamabad,amenity,cafe
"Avoid the garden in Gulberg, it is not cheap.",garden,cheap,en,Lahore,leisure,park
Can you recommend a biggest precinct around Saddar?,precinct,biggest,en,Karachi,amenity,police
Mujhay Centaurus ke qareeb koi behtareen kiryana store chahiye.,kiryana store,behtareen,ur,Islamabad,shop,convenience
Agar mehnga boutique dhoond rahay ho to Hayatabad jao.,boutique,mehnga,ur,Peshawar,shop,clothes
The Saddar in Karachi has an popular clinic.,clinic,popular,en,Karachi,amenity,hospital
"Avoid the precinct in Clifton, it is not nearby.",precinct,nearby,en,Karachi,amenity,police
We visited the most luxury lodge in Rawalpindi yesterday.,lodge,luxury,en,Rawalpindi,tourism,hotel
Peshawar ke University Road main aik bohat bada fashion center hai.,fashion center,bada,ur,Peshawar,shop,clothes
There is a famous grocery store in Clifton which is very historic.,grocery store,historic,en,Karachi,shop,convenience
Rawalpindi ke Saddar main aik bohat purana jamia masjid hai.,jamia masjid,purana,ur,Rawalpindi,amenity,mosque
Blue Area wala boutique kaafi pur-sukoon hai.,boutique,pur-sukoon,ur,Islamabad,shop,clothes
We visited the most clean medical center in Lahore yesterday.,medical center,clean,en,Lahore,amenity,hospital
Suna hai ke Karachi main sab se qareebi darzi wahan hai.,darzi,qareebi,ur,Karachi,shop,tailor
Agar bada silai markaz dhoond rahay ho to Saddar jao.,silai markaz,bada,ur,Peshawar,shop,tailor
"Avoid the playground in Karkhano, it is not oldest.",playground,oldest,en,Peshawar,leisure,park
Does Rawalpindi have any famous emergency room for tourists?,emergency room,famous,en,Rawalpindi,amenity,hospital
Suna hai ke Karachi main sab se purana park wahan hai.,park,purana,ur,Karachi,leisure,park
There is a famous guest house in Saddar which is very oldest.,guest house,oldest,en,Peshawar,tourism,hotel
Islamabad ke F-7 main aik bohat saaf suthra ground hai.,ground,saaf suthra,ur,Islamabad,leisure,park
Hum ne Saddar main aik lajawab dukaan dekha.,dukaan,lajawab,ur,Rawalpindi,shop,convenience
Kya Karachi main koi behtareen kiryana store khula hai?,kiryana store,behtareen,ur,Karachi,shop,convenience
Mujhay Hayatabad ke qareeb koi mashoor tikka shop chahiye.,tikka shop,mashoor,ur,Peshawar,amenity,restaurant
Mujhay Anarkali ke qareeb koi pur-sukoon tikka shop chahiye.,tikka shop,pur-sukoon,ur,Lahore,amenity,restaurant
Is there any historic medical center open in Lahore right now?,medical center,historic,en,Lahore,amenity,hospital
Hum ne Gulberg main aik khubsurat hotel dekha.,hotel,khubsurat,ur,Lahore,amenity,restaurant
Agar qareebi thana dhoond rahay ho to Saddar jao.,thana,qareebi,ur,Rawalpindi,amenity,police
Clifton wala kapron ki dukaan kaafi mashoor hai.,kapron ki dukaan,mashoor,ur,Karachi,shop,clothes
The Tariq Road in Karachi has an nearby police station.,police station,nearby,en,Karachi,amenity,police
