sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value,target_label
defence main jo general store hai wo bohat lajawab hai.,general store,lajawab,ur,Karachi,shop,convenience,shop__convenience
hum ne blue area main aik bada bagh dekha.,bagh,bada,ur,Islamabad,leisure,park,leisure__park
we visited the most crowded stitching center in karachi yesterday.,stitching center,crowded,en,Karachi,shop,tailor,shop__tailor
we visited the most oldest police station in karachi yesterday.,police station,oldest,en,Karachi,amenity,police,amenity__police
liberty market wala boutique kaafi saaf suthra hai.,boutique,saaf suthra,ur,Lahore,shop,clothes,shop__clothes
there is a famous playground in university road which is very oldest.,playground,oldest,en,Peshawar,leisure,park,leisure__park
hum ne karkhano main aik bada chai wala dekha.,chai wala,bada,ur,Peshawar,amenity,cafe,amenity__cafe
suna hai ke rawalpindi main sab se mashoor quetta tea hotel wahan hai.,quetta tea hotel,mashoor,ur,Rawalpindi,amenity,cafe,amenity__cafe
can you recommend a famous precinct around university road?,precinct,famous,en,Peshawar,amenity,police,amenity__police
suna hai ke islamabad main sab se purana restaurant wahan hai.,restaurant,purana,ur,Islamabad,amenity,restaurant,amenity__restaurant
mujhay gulshan ke qareeb koi mehnga ground chahiye.,ground,mehnga,ur,Karachi,leisure,park,leisure__park
"avoid the eatery in saddar, it is not popular.",eatery,popular,en,Peshawar,amenity,restaurant,amenity__restaurant
f-7 main jo tailor shop hai wo bohat sasta hai.,tailor shop,sasta,ur,Islamabad,shop,tailor,shop__tailor
hum ne commercial market main aik pur-sukoon guest house dekha.,guest house,pur-sukoon,ur,Rawalpindi,tourism,hotel,tourism__hotel
we visited the most cheap restaurant in rawalpindi yesterday.,restaurant,cheap,en,Rawalpindi,amenity,restaurant,amenity__restaurant
is there any cheap stitching center open in karachi right now?,stitching center,cheap,en,Karachi,shop,tailor,shop__tailor
saddar main jo thana hai wo bohat sasta hai.,thana,sasta,ur,Peshawar,amenity,police,amenity__police
is there any affordable tailor shop open in karachi right now?,tailor shop,affordable,en,Karachi,shop,tailor,shop__tailor
rawalpindi ke commercial market main aik bohat khubsurat cloth market hai.,cloth market,khubsurat,ur,Rawalpindi,shop,clothes,shop__clothes
hum ne commercial market main aik lajawab silai markaz dekha.,silai markaz,lajawab,ur,Rawalpindi,shop,tailor,shop__tailor
dha main jo sauda salf ki dukaan hai wo bohat bada hai.,sauda salf ki dukaan,bada,ur,Lahore,shop,convenience,shop__convenience
i am looking for a biggest police station near karkhano.,police station,biggest,en,Peshawar,amenity,police,amenity__police
i am looking for a affordable guest house near hayatabad.,guest house,affordable,en,Peshawar,tourism,hotel,tourism__hotel
karachi ke saddar main aik bohat mashoor dukaan hai.,dukaan,mashoor,ur,Karachi,shop,convenience,shop__convenience
can you recommend a biggest precinct around raja bazaar?,precinct,biggest,en,Rawalpindi,amenity,police,amenity__police
islamabad ke f-7 main aik bohat rush wala boutique hai.,boutique,rush wala,ur,Islamabad,shop,clothes,shop__clothes
the hayatabad in peshawar has an nearby stitching center.,stitching center,nearby,en,Peshawar,shop,tailor,shop__tailor
can you recommend a popular precinct around gulberg?,precinct,popular,en,Lahore,amenity,police,amenity__police
we visited the most historic police station in rawalpindi yesterday.,police station,historic,en,Rawalpindi,amenity,police,amenity__police
agar qareebi sair gah dhoond rahay ho to centaurus jao.,sair gah,qareebi,ur,Islamabad,leisure,park,leisure__park
can you recommend a luxury restaurant around saddar?,restaurant,luxury,en,Rawalpindi,amenity,restaurant,amenity__restaurant
kya peshawar main koi bada tailor shop khula hai?,tailor shop,bada,ur,Peshawar,shop,tailor,shop__tailor
the karkhano in peshawar has an oldest precinct.,precinct,oldest,en,Peshawar,amenity,police,amenity__police
there is a famous guest house in bahria town which is very historic.,guest house,historic,en,Rawalpindi,tourism,hotel,tourism__hotel
is there any crowded stitching center open in islamabad right now?,stitching center,crowded,en,Islamabad,shop,tailor,shop__tailor
agar behtareen cafe dhoond rahay ho to hayatabad jao.,cafe,behtareen,ur,Peshawar,amenity,cafe,amenity__cafe
is there any affordable tailor shop open in peshawar right now?,tailor shop,affordable,en,Peshawar,shop,tailor,shop__tailor
does islamabad have any historic restaurant for tourists?,restaurant,historic,en,Islamabad,amenity,restaurant,amenity__restaurant
agar mehnga boutique dhoond rahay ho to hayatabad jao.,boutique,mehnga,ur,Peshawar,shop,clothes,shop__clothes
hum ne blue area main aik purana tailor shop dekha.,tailor shop,purana,ur,Islamabad,shop,tailor,shop__tailor
mujhay clifton ke qareeb koi behtareen kiryana store chahiye.,kiryana store,behtareen,ur,Karachi,shop,convenience,shop__convenience
the gulberg in lahore has an best fashion outlet.,fashion outlet,best,en,Lahore,shop,clothes,shop__clothes
can you recommend a popular fashion outlet around university road?,fashion outlet,popular,en,Peshawar,shop,clothes,shop__clothes
islamabad ke f-11 markaz main aik bohat lajawab cafe hai.,cafe,lajawab,ur,Islamabad,amenity,cafe,amenity__cafe
hum ne commercial market main aik sasta kiryana store dekha.,kiryana store,sasta,ur,Rawalpindi,shop,convenience,shop__convenience
the commercial market in rawalpindi has an cheap garden.,garden,cheap,en,Rawalpindi,leisure,park,leisure__park
islamabad ke blue area main aik bohat mehnga bagh hai.,bagh,mehnga,ur,Islamabad,leisure,park,leisure__park
hum ne saddar main aik sasta hotel dekha.,hotel,sasta,ur,Rawalpindi,tourism,hotel,tourism__hotel
anarkali wala khanay ka center kaafi pur-sukoon hai.,khanay ka center,pur-sukoon,ur,Lahore,amenity,restaurant,amenity__restaurant
commercial market main jo chowki hai wo bohat pur-sukoon hai.,chowki,pur-sukoon,ur,Rawalpindi,amenity,police,amenity__police
agar saaf suthra guest house dhoond rahay ho to blue area jao.,guest house,saaf suthra,ur,Islamabad,tourism,hotel,tourism__hotel
can you recommend a best coffee shop around centaurus?,coffee shop,best,en,Islamabad,amenity,cafe,amenity__cafe
agar bada silai markaz dhoond rahay ho to saddar jao.,silai markaz,bada,ur,Peshawar,shop,tailor,shop__tailor
"avoid the clothing store in f-7, it is not oldest.",clothing store,oldest,en,Islamabad,shop,clothes,shop__clothes
i am looking for a luxury resort near saddar.,resort,luxury,en,Peshawar,tourism,hotel,tourism__hotel
mall road main jo police station hai wo bohat qareebi hai.,police station,qareebi,ur,Lahore,amenity,police,amenity__police
there is a famous guest house in liberty market which is very popular.,guest house,popular,en,Lahore,tourism,hotel,tourism__hotel
hum ne dha main aik purana resort dekha.,resort,purana,ur,Lahore,tourism,hotel,tourism__hotel
"avoid the cafe in dha, it is not luxury.",cafe,luxury,en,Lahore,amenity,cafe,amenity__cafe
is there any famous police station open in lahore right now?,police station,famous,en,Lahore,amenity,police,amenity__police
hum ne hayatabad main aik behtareen police station dekha.,police station,behtareen,ur,Peshawar,amenity,police,amenity__police
hum ne gulberg main aik bada park dekha.,park,bada,ur,Lahore,leisure,park,leisure__park
does islamabad have any biggest resort for tourists?,resort,biggest,en,Islamabad,tourism,hotel,tourism__hotel
karkhano main jo dhaba hai wo bohat khubsurat hai.,dhaba,khubsurat,ur,Peshawar,amenity,restaurant,amenity__restaurant
agar bada silai markaz dhoond rahay ho to gulberg jao.,silai markaz,bada,ur,Lahore,shop,tailor,shop__tailor
suna hai ke islamabad main sab se qareebi boutique wahan hai.,boutique,qareebi,ur,Islamabad,shop,clothes,shop__clothes
we visited the most affordable bistro in rawalpindi yesterday.,bistro,affordable,en,Rawalpindi,amenity,restaurant,amenity__restaurant
i am looking for a best jogging track near commercial market.,jogging track,best,en,Rawalpindi,leisure,park,leisure__park
