id,class_label,items_json
0,amenity:bank,"[""al"", ""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
1,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""bank_pakistan"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""pakistan"", ""pakistan_amenity"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
2,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""g-81"", ""islamabad"", ""islamabad_amenity"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
3,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""tag:building=yes""]"
4,amenity:bank,"[""al-habib"", ""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_kurram"", ""kurram"", ""kurram_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
5,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""city"", ""islamabad"", ""tag:amenity=bank""]"
6,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""islamabad"", ""islamabad_tipu"", ""sultan"", ""sultan_اسلام"", ""tag:amenity=bank"", ""tipu"", ""tipu_sultan"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
7,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank""]"
8,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""i-8"", ""i-8_markaz"", ""islamabad"", ""islamabad_i-8"", ""markaz"", ""markaz_islamabad"", ""tag:amenity=bank""]"
9,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""commercial"", ""commercial_bank"", ""islamabad"", ""muslim"", ""muslim_commercial"", ""tag:amenity=bank""]"
10,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""commercial"", ""commercial_bank"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""muslim"", ""muslim_commercial"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
11,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_kurram"", ""kurram"", ""kurram_اسلام"", ""national"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
12,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""islamabad"", ""islamabad_kurram"", ""kurram"", ""kurram_اسلام"", ""punjab"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
13,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""commercial"", ""commercial_bank"", ""hilal"", ""hilal_اسلام"", ""islamabad"", ""islamabad_hilal"", ""pak"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
14,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_amenity"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank""]"
15,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""bank_pakistan"", ""f5"", ""f5_اسلام"", ""g5"", ""g5_service"", ""islamabad"", ""islamabad_service"", ""pakistan"", ""pakistan_amenity"", ""service"", ""service_west"", ""tag:amenity=bank"", ""tag:building=yes"", ""west"", ""west_f5"", ""west_g5"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
16,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""khyber"", ""tag:amenity=bank""]"
17,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""bank_pakistan"", ""f5"", ""f5_اسلام"", ""g5"", ""g5_service"", ""islamabad"", ""islamabad_service"", ""pakistan"", ""pakistan_amenity"", ""service"", ""service_west"", ""tag:amenity=bank"", ""tag:building=yes"", ""west"", ""west_f5"", ""west_g5"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
18,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""tag:building=yes""]"
19,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""ltd"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
20,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""hilal"", ""hilal_اسلام"", ""islamabad"", ""islamabad_hilal"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
21,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
22,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""markaz"", ""markaz_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
23,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
24,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""bhitai"", ""bhitai_اسلام"", ""islamabad"", ""islamabad_bhitai"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
25,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_no"", ""no"", ""no_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""اسٹینڈرڈ"", ""اسٹینڈرڈ_چارٹرڈ"", ""چارٹرڈ"", ""چارٹرڈ_amenity""]"
26,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""f7"", ""f7_markaz"", ""islamabad"", ""islamabad_f7"", ""markaz"", ""markaz_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""الائیڈ"", ""الائیڈ_بینک"", ""بینک"", ""بینک_amenity""]"
27,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""الائیڈ"", ""الائیڈ_بینک"", ""بینک"", ""بینک_لمیٹڈ"", ""لمیٹڈ"", ""لمیٹڈ_amenity""]"
28,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""الائیڈ"", ""الائیڈ_بینک"", ""بینک"", ""بینک_لمیٹڈ"", ""لمیٹڈ"", ""لمیٹڈ_amenity""]"
29,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""الائیڈ"", ""الائیڈ_بینک"", ""بینک"", ""بینک_لمیٹڈ"", ""لمیٹڈ"", ""لمیٹڈ_amenity""]"
30,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_school"", ""school"", ""school_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""ایم"", ""بی"", ""بینک"", ""بینک_amenity"", ""سی""]"
31,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_shaheed-e-millat"", ""shaheed-e-millat"", ""shaheed-e-millat_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""ایل"", ""ایل_پاکستان"", ""ایچ"", ""ایچ_بی"", ""بی"", ""بی_ایل"", ""پاکستان"", ""پاکستان_amenity""]"
