id,city,role,synthetic_description
100000,Sialkot,Volunteer Guide,I visited this historic park and was amazed by the modern college.
100001,Rawalpindi,Volunteer Guide,A hidden gem! This local mosque features local college.
100002,Lahore,Volunteer Guide,I visited this famous shrine and was amazed by the beautiful experience.
100003,Peshawar,Volunteer Guide,A hidden gem! This clean hotel features busy park.
100004,Sialkot,Volunteer Guide,A hidden gem! This local park features local service.
100005,Rawalpindi,Volunteer Guide,A hidden gem! This famous shop features busy hotel.
100006,Lahore,Volunteer Guide,A hidden gem! This modern shop features local spot.
100007,Quetta,Volunteer Guide,A hidden gem! This famous park features famous bank.
100008,Skardu,Volunteer Guide,I visited this beautiful hotel and was amazed by the modern shop.
100009,Lahore,Volunteer Guide,Locals say this modern shrine is the best spot for clean experience.
100010,Lahore,Volunteer Guide,I visited this local shrine and was amazed by the clean spot.
100011,Islamabad,Volunteer Guide,Locals say this historic hotel is the best spot for famous view.
100012,Chitral,Volunteer Guide,I visited this busy shop and was amazed by the historic place.
100013,Peshawar,Volunteer Guide,Locals say this historic shop is the best spot for historic bank.
100014,Rawalpindi,Volunteer Guide,Locals say this beautiful hotel is the best spot for modern place.
100015,Karachi,Volunteer Guide,Locals say this busy mosque is the best spot for modern shop.
100016,Attock,Volunteer Guide,A hidden gem! This famous shrine features beautiful mosque.
100017,Muzaffarabad,Volunteer Guide,A hidden gem! This famous shrine features historic park.
100018,Attock,Volunteer Guide,A hidden gem! This beautiful college features famous bank.
100019,Rawalpindi,Volunteer Guide,A hidden gem! This famous bank features clean spot.
100020,Sialkot,Volunteer Guide,Locals say this modern bank is the best spot for busy experience.
100021,Chitral,Volunteer Guide,Locals say this historic shop is the best spot for historic park.
100022,Muzaffarabad,Volunteer Guide,A hidden gem! This busy park features clean spot.
100023,Chitral,Volunteer Guide,A hidden gem! This local mosque features famous park.
100024,Attock,Volunteer Guide,A hidden gem! This historic park features beautiful service.
100025,Peshawar,Volunteer Guide,I visited this modern mosque and was amazed by the clean spot.
100026,Kohat,Volunteer Guide,Locals say this clean mosque is the best spot for modern shop.
100027,Islamabad,Volunteer Guide,I visited this historic shrine and was amazed by the famous mosque.
100028,Skardu,Volunteer Guide,I visited this clean college and was amazed by the local service.
100029,Islamabad,Volunteer Guide,I visited this historic hotel and was amazed by the famous service.
100030,Quetta,Volunteer Guide,A hidden gem! This modern shop features clean service.
100031,Skardu,Volunteer Guide,Locals say this busy bank is the best spot for famous experience.
100032,Karachi,Volunteer Guide,A hidden gem! This local bank features busy park.
100033,Chitral,Volunteer Guide,A hidden gem! This modern shrine features modern place.
